scheme,batch_size,decode_tokens_per_request,success,decode_time_s,decode_tok_s,full_decode_time_s,full_decode_tok_s,all_started_decode_time_s,all_started_decode_tok_s,tokens_after_all_started,observed_tokens,first_token_spread_s,legacy_decode_tok_s,completed_requests,source
bf16_merged,1,256,True,10.017805229872465,25.554499625988345,10.017805229872465,25.554499625988345,10.017805229872465,25.554499625988345,256,256,0.0,25.554499625988345,1,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/bf16_merged.bs1.json
bf16_merged,128,256,True,25.334792491979897,1293.3991865286914,25.334792491979897,1293.3991865286914,11.767179850954562,1343.652446912962,15811,32768,13.567612641025335,2784.6944140436362,128,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/bf16_merged.bs128.json
bf16_merged,16,256,True,10.15033960621804,403.5332963136341,10.15033960621804,403.5332963136341,10.149496194906533,402.08892359090953,4081,4096,0.000843411311507225,403.5668294605159,16,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/bf16_merged.bs16.json
bf16_merged,256,256,True,52.47664583334699,1248.8603065090388,52.47664583334699,1248.8603065090388,11.738132625352591,1281.805247923585,15046,65536,40.7385132079944,5583.17085789712,256,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/bf16_merged.bs256.json
bf16_merged,32,256,True,10.575717222876847,774.6046747807787,10.575717222876847,774.6046747807787,10.574018589686602,771.7973947917827,8161,8192,0.0016986331902444363,774.7291089491832,32,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/bf16_merged.bs32.json
bf16_merged,4,256,True,9.890708559192717,103.53151079841132,9.890708559192717,103.53151079841132,9.890477063134313,103.23061197984751,1021,1024,0.00023149605840444565,103.53393405226626,4,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/bf16_merged.bs4.json
bf16_merged,512,256,True,106.53025852609426,1230.373433928111,106.53025852609426,1230.373433928111,11.60094432393089,1187.0585372599912,13771,131072,94.92931420216337,11298.390574086237,512,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/bf16_merged.bs512.json
bf16_merged,64,256,True,11.741967989131808,1395.3367966225753,11.741967989131808,1395.3367966225753,11.616613204125315,1404.9705979884097,16321,16384,0.12535478500649333,1410.3938654152382,64,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/bf16_merged.bs64.json
bf16_merged,8,256,True,9.993861539755017,204.92579288327858,9.993861539755017,204.92579288327858,9.993455810006708,204.23365438373114,2041,2048,0.0004057297483086586,204.93411277701196,8,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/bf16_merged.bs8.json
qlora_csgmv,1,256,True,5.553665951825678,46.0956784618715,5.553665951825678,46.0956784618715,5.553665951825678,46.0956784618715,256,256,0.0,46.0956784618715,1,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/qlora_csgmv.bs1.json
qlora_csgmv,128,256,True,24.175991808995605,1355.3942381717472,24.175991808995605,1355.3942381717472,7.238699404057115,986.5031826017865,7141,32768,16.93729240493849,4526.780043060544,128,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/qlora_csgmv.bs128.json
qlora_csgmv,16,256,True,6.244804583024234,655.905232188449,6.244804583024234,655.905232188449,6.2438692399300635,653.6011314749619,4081,4096,0.0009353430941700935,656.0034879983936,16,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/qlora_csgmv.bs16.json
qlora_csgmv,256,256,True,44.0352267450653,1488.2630304008626,44.0352267450653,1488.2630304008626,10.100810559932142,1420.777066835358,14351,65536,33.93441618513316,6488.192171425129,256,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/qlora_csgmv.bs256.json
qlora_csgmv,32,256,True,9.466123413760215,865.4017745101321,9.466123413760215,865.4017745101321,9.464088442735374,862.3123134763578,8161,8192,0.00203497102484107,865.5878534491267,32,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/qlora_csgmv.bs32.json
qlora_csgmv,4,256,True,5.647570744622499,181.3168964682792,5.647570744622499,181.3168964682792,5.647358278743923,180.79249617346562,1021,1024,0.00021246587857604027,181.32371800355415,4,/data/huanchen/sglang/.rollout-profile/qlora-decoding-throughput/results/qlora_csgmv.bs4.json
